datum,profitloss
2022-08-10,1105.6868748569489
2022-08-11,1465.9980618858337
2022-08-12,1412.8922459983826
2022-08-15,1569.1064588928218
2022-08-16,1557.0286757850643
2022-08-17,1400.8770444297786
2022-08-18,1384.3590667152405
2022-08-19,1213.4953448677063
2022-08-22,792.146367301941
2022-08-23,649.6016366386415
2022-08-24,606.6674020195009
2022-08-25,861.1874916458131
2022-08-26,811.1865551376344
2022-08-30,119.05006360054014
2022-08-31,-70.62290073394777
2022-09-01,-566.4723306274416
2022-09-02,-380.6095536327364
2022-09-06,-589.4215353107454
2022-09-07,-745.1526814079286
2022-09-08,-455.3072391128542
2022-09-09,6.868464889526166
2022-09-12,270.07698673248285
2022-09-13,-93.64418416976949
2022-09-14,-647.1317709064485
2022-09-15,-708.2929282760622
2022-09-16,-1035.346381006241
2022-09-20,-947.2019625282289
2022-09-21,-983.7873283004762
2022-09-22,-1451.7351403808598
2022-09-23,-1923.873451766968
2022-09-26,-1951.6070554828646
2022-09-27,-1891.1776936626436
2022-09-28,-2138.312463817597
2022-09-29,-2202.349025783539
2022-09-30,-2371.5240460014347
2022-10-03,-2467.1712973976137
2022-10-04,-1689.8108857536317
2022-10-05,-1684.8779886627199
2022-10-06,-1462.542780723572
2022-10-07,-2065.2970214748384
2022-10-10,-2689.074794855118
2022-10-11,-2947.8349746131903
2022-10-12,-3022.3008917236334
2022-10-13,-3325.517994728089
2022-10-14,-2954.006107654572
2022-10-17,-3064.962199296952
2022-10-18,-2708.0913751983644
2022-10-19,-2614.2005525493623
2022-10-20,-2496.855955209732
2022-10-21,-2587.903004732132
2022-10-24,-2153.515580739975
2022-10-25,-1770.7254861259462
2022-10-26,-1659.2915111446382
2022-10-27,-1760.2394221687318
2022-10-28,-1922.6994956398014
